Country Name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,247.6496198,220.7188101,204.4176782,213.9966579,245.4539042,233.6580471,253.9744631,270.6996009,285.829214,306.2687038,293.1604155,293.6449985,300.5557532,299.5330397,329.4240846,394.7174751,401.4986908,407.4291862,409.5431969,418.0689683,415.0344266,413.0802546,446.3106592,475.2919198,499.4619402,509.6401429,558.0518603,634.9870565,702.26441,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628,1563.994082,1698.262802
India,270.4706024,274.1113314,291.2381101,276.6679586,296.4351516,310.4659351,340.4168316,354.1492516,346.1128873,367.5566093,303.0556053,316.9539279,301.1590042,346.1029503,373.76648,399.9500768,415.493797,413.2989342,441.9987596,443.3141934,451.5730011,470.9867859,546.7266145,627.7742473,714.8610135,806.7532806,1028.334771,998.522339,1101.96084,1357.563719,1458.103527,1443.879529,1449.605912,1573.881492,1605.605431,1729.268021,1981.268706,2009.978857
Nepal,148.0802537,152.2896698,151.9926102,156.6506823,155.4078645,165.3618676,167.7999826,193.4996694,191.1207808,191.8789042,202.08061,170.5866683,178.6259703,193.279505,203.980809,204.6857552,217.787953,210.6114878,214.106767,229.4902871,246.725629,244.7208237,252.4024323,286.1575938,315.80563,346.9452514,391.3801314,470.4555473,478.1731816,592.4010975,699.4293377,698.4664794,715.923743,743.4133813,792.5528906,777.1475955,911.4442665,1033.912431
Pakistan,348.2950626,368.2773787,332.5210584,349.182049,337.828511,335.0201588,339.3322676,379.4545062,384.3642933,371.6785662,410.2953191,426.9572127,439.6597688,431.1531276,489.881814,497.2161432,476.3812312,461.2167361,454.2761254,519.5343268,495.3454616,483.4969271,543.7518258,625.3978597,683.0902351,836.8605211,908.0950906,990.8465996,957.9956808,987.409723,1164.976129,1198.109001,1208.90431,1251.164104,1356.667756,1368.454326,1464.993305,1482.403063
