Country Name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,9.177240381,2.114466364,5.113713458,4.614623919,2.28871226,4.478105078,4.183334275,2.355313432,2.758552755,5.42984696,3.507478281,5.706040709,4.970474586,4.340196506,5.003875454,4.03939215,4.653574408,5.180617072,4.861800099,5.483558324,4.872532511,4.744514181,4.755208371,5.615956446,6.645942359,7.957442923,7.804277336,7.126138859,5.256417995,5.783016898,6.253628133,6.979445061,5.608409201,4.73563711,6.360917541,6.408413783,5.877809964,8.123128822
India,5.786017894,3.127408249,7.192343779,3.677069891,5.319152222,4.717250188,3.802042513,9.30293701,5.823367314,5.375653438,0.832317405,5.4837119,4.897960474,6.779121204,7.740775074,7.742120053,4.130241947,6.186153368,8.937444759,3.558990399,5.017135879,3.992641912,7.787820364,7.960062262,7.896682155,7.991366121,8.038363546,2.901619911,7.863703935,7.964981785,5.447408636,5.137322988,6.312790489,7.494874593,8.018964902,8.18220341,7.231330905,6.872031568
Nepal,,,,,,,,,,,,,,,,,,,,,,-0.395594825,3.941301821,4.500532887,4.083796502,3.842864047,3.670691099,6.054908239,4.7555074,4.418635311,3.203074088,5.05027923,4.091217673,6.967345905,3.282202825,0.521536957,7.868985515,6.19333706
Pakistan,,,,,,,10.39586891,5.39993329,4.242916313,5.130811012,3.028369592,6.264443027,1.4443471,3.208805938,5.520103634,3.64027366,0.516436989,2.391193355,3.720980891,3.848431657,1.953279985,5.239043195,7.616246182,6.385834485,7.489711945,5.887382056,4.702129648,1.911982474,3.490110656,2.759584031,3.422355015,4.092925418,4.409145604,5.164380035,5.160395118,5.641053156,4.922364399,5.683930173
